iter	Passed	Remaining
0	196	196795
1	224	111785
2	246	81883
3	269	67100
4	290	57818
5	312	51731
6	333	47249
7	354	43923
8	375	41379
9	396	39292
10	443	39880
11	469	38642
12	495	37620
13	517	36459
14	538	35372
15	559	34430
16	585	33844
17	606	33077
18	631	32601
19	659	32292
20	681	31777
21	703	31252
22	725	30799
23	747	30393
24	767	29918
25	789	29562
26	810	29214
27	832	28908
28	859	28794
29	882	28529
30	904	28288
31	927	28044
32	949	27813
33	977	27780
34	1003	27669
35	1025	27472
36	1047	27271
37	1069	27083
38	1096	27024
39	1119	26860
40	1141	26704
41	1162	26525
42	1184	26368
43	1206	26208
44	1228	26066
45	1250	25926
46	1273	25823
47	1300	25791
48	1323	25678
49	1345	25562
50	1367	25440
51	1389	25331
52	1413	25254
53	1435	25143
54	1456	25030
55	1484	25020
56	1508	24961
57	1536	24960
58	1571	25057
59	1604	25134
60	1630	25094
61	1665	25193
62	1703	25338
63	1728	25275
64	1769	25451
65	1803	25518
66	1833	25526
67	1864	25548
68	1887	25473
69	1917	25477
70	1952	25542
71	1974	25445
72	1995	25341
73	2017	25248
74	2039	25156
75	2060	25055
76	2082	24966
77	2104	24872
78	2133	24878
79	2156	24794
80	2177	24709
81	2199	24627
82	2221	24546
83	2243	24460
84	2261	24345
85	2286	24295
86	2309	24236
87	2337	24229
88	2360	24162
89	2382	24094
90	2405	24027
91	2427	23957
92	2449	23889
93	2470	23815
94	2491	23736
95	2512	23658
96	2532	23577
97	2562	23587
98	2584	23522
99	2606	23456
100	2627	23388
101	2649	23325
102	2670	23258
103	2692	23194
104	2713	23126
105	2734	23063
106	2755	23000
107	2783	22992
108	2806	22943
109	2829	22890
110	2851	22839
111	2872	22775
112	2893	22716
113	2916	22666
114	2938	22615
115	2960	22557
116	2980	22497
117	3011	22507
118	3032	22453
119	3055	22405
120	3075	22344
121	3096	22286
122	3119	22239
123	3139	22181
124	3161	22130
125	3182	22076
126	3204	22025
127	3232	22020
128	3255	21980
129	3278	21940
130	3300	21894
131	3321	21843
132	3343	21797
133	3365	21750
134	3387	21706
135	3420	21730
136	3442	21684
137	3463	21635
138	3485	21587
139	3506	21539
140	3531	21512
141	3561	21522
142	3596	21554
143	3633	21601
144	3665	21614
145	3689	21580
146	3712	21544
147	3748	21580
148	3782	21602
149	3815	21618
150	3840	21591
151	3876	21624
152	3903	21607
153	3927	21575
154	3948	21527
155	3969	21478
156	3991	21433
157	4012	21384
158	4035	21342
159	4067	21353
160	4089	21311
161	4111	21270
162	4133	21225
163	4154	21178
164	4176	21135
165	4197	21090
166	4220	21052
167	4242	21011
168	4267	20984
169	4292	20955
170	4314	20914
171	4336	20874
172	4358	20833
173	4379	20792
174	4401	20750
175	4424	20712
176	4445	20669
177	4466	20628
178	4496	20623
179	4519	20588
180	4542	20555
181	4563	20511
182	4586	20474
183	4607	20434
184	4628	20390
185	4650	20350
186	4671	20310
187	4693	20271
188	4719	20250
189	4742	20216
190	4764	20179
191	4786	20141
192	4808	20105
193	4829	20066
194	4851	20025
195	4871	19982
196	4892	19942
197	4916	19912
198	4941	19889
199	4963	19852
200	4984	19814
201	5006	19777
202	5027	19738
203	5050	19705
204	5073	19675
205	5102	19666
206	5135	19674
207	5176	19712
208	5204	19697
209	5244	19729
210	5274	19723
211	5302	19709
212	5325	19677
213	5360	19688
214	5392	19687
215	5418	19665
216	5443	19643
217	5469	19619
218	5491	19583
219	5513	19548
220	5534	19507
221	5556	19471
222	5582	19449
223	5606	19421
224	5628	19388
225	5649	19349
226	5672	19316
227	5694	19282
228	5716	19244
229	5740	19219
230	5762	19184
231	5789	19166
232	5813	19137
233	5835	19103
234	5858	19070
235	5880	19037
236	5901	19000
237	5924	18967
238	5946	18934
239	5968	18900
240	5990	18865
241	6020	18857
242	6043	18827
243	6065	18793
244	6087	18760
245	6110	18728
246	6131	18692
247	6152	18654
248	6172	18617
249	6194	18582
250	6216	18549
251	6243	18533
252	6266	18501
253	6289	18472
254	6311	18439
255	6333	18406
256	6356	18378
257	6378	18344
258	6399	18309
259	6421	18277
260	6446	18252
261	6473	18233
262	6496	18206
